# Per-sample chosen Leiden resolution — a human judgment made by reading each sample's
# cluster_report deck, not a computation. The bookkeeping (and downstream annotation)
# report n_clusters at THIS resolution per sample rather than a single cohort-wide value.
# Every value must be one of cluster.py's swept resolutions (a leiden_<res> column must
# exist in that sample's clustered h5ad). Seeded at 0.4 for all 15; edit as you review.
sample,resolution
normal_id_1,0.4
normal_id_3,0.4
normal_id_9,0.4
normal_id_17,0.4
normal_id_20,0.4
normal_id_27,0.4
normal_id_33,0.4
normal_id_36,0.4
normal_id_55,0.4
normal_id_61,0.4
obese_id_23,0.4
obese_id_31,0.4
obese_id_57,0.4
obese_id_67,0.4
obese_id_75,0.4
